title,description,author,contact,email_contact,update_date,url,data_type,access
Commuting Zones and Labor Market Areas,"Note: Updates to this data product are discontinued.
County boundaries do not always accurately define local economies. Commuting zones and Labor Market Areas combine counties into units intended to more closely reflect the geographic interrelationships between employers and labor supply.","Economic Research Service, Department of Agriculture",Website Administrator,mailto:webadmin@ers.usda.gov,2019-03-26,https://www.ers.usda.gov/data-products/commuting-zones-and-labor-market-areas/,dcat:Distribution,public
Cost Estimates of Foodborne Illnesses,"The Cost Estimates of Foodborne Illnesses data product provides detailed data about the costs of major foodborne illnesses in the United States, updating and extending previous ERS research. Cost estimates of foodborne illnesses have been used in the past to help inform food-safety policy discussions, and these updated cost estimates will provide a foundation for economic analysis of food safety policy.","Economic Research Service, Department of Agriculture",Sandra Hoffmann,mailto:shoffmann@ers.usda.gov,2019-08-20,http://www.ers.usda.gov/data-products/cost-estimates-of-foodborne-illnesses.aspx,application/vnd.ms-excel,public
Cotton and Wool Chart Gallery,For the latest Cotton Chart see the Cotton and Wool Outlook report which can be found on the Cotton and Wool Outlook report page on USDA’s Economic Research Service website.,"Economic Research Service, Department of Agriculture",Leslie Meyer,mailto:leslie.meyer@usda.gov,2019-09-20,https://www.ers.usda.gov/data-products/cotton-and-wool-chart-gallery/,dcat:Distribution,public
"Cotton, Wool, and Textile Data","This data product contains data on U.S. cotton and wool supply, demand, and prices, as well as U.S. cotton and textile trade data, maintained by the Economic Research Service to support related commodity market analysis and research.","Economic Research Service, Department of Agriculture",Leslie Meyer,mailto:leslie.meyer@usda.gov,2019-08-20,https://www.ers.usda.gov/data-products/cotton-wool-and-textile-data/cotton-and-wool-yearbook/,dcat:Distribution,public
County Typology Codes,"An area's economic and social characteristics have significant effects on its development and need for various types of public programs. To provide policy-relevant information about diverse county conditions to policymakers, public officials, and researchers, ERS has developed a set of county-level typology codes that captures differences in economic and social characteristics.

The 2004 County Typology codes classify all U.S. counties according to six non-overlapping categories of economic dependence and seven overlapping categories of policy-relevant themes. The economic types include farming, mining, manufacturing, services, Federal/State government, and unspecialized counties. The policy types include housing stress, low education, low employment, persistent poverty, population loss, nonmetro recreation, and retirement destination. In addition, a code identifying counties with persistent child poverty is available.

An update of the County Typology codes is planned for 2014.","Economic Research Service, Department of Agriculture",John Pender,mailto:jpender@ers.usda.gov,2019-10-23,https://www.ers.usda.gov/data-products/county-typology-codes/,dcat:Distribution,public
County-level Data Sets,"Socioeconomic indicators like the poverty rate, population change, unemployment rate, and education levels vary across the nation. ERS has compiled the latest data on these measures into a mapping and data display/download application that allows users to identify and compare States and counties on these indicators.","Economic Research Service, Department of Agriculture",John Pender,mailto:jpender@ers.usda.gov,2020-05-13,http://www.ers.usda.gov/data-products/county-level-data-sets/poverty.aspx,text/html,public
County-level Oil and Gas Production in the U.S.,"County-level data from oil and/or natural gas producing States—for onshore production in the lower 48 States only—are compiled on a State-by-State basis. Most States have production statistics available by county, field, or well, and these data were compiled at the county level to create a database of county-level production, annually for 2000 through 2011. Raw data for natural gas is for gross withdrawals, and oil data almost always include natural gas liquids. Note that State-provided natural gas withdrawals were not available for Illinois or Indiana; those estimates were produced using geocoded wells and State total production reported by the U.S. Department of Energy’s Energy Information Agency.
 
In the data file, counties with increases or decreases in excess of $20 million in oil and/or natural gas production during 2000-11 are also identified. See the Documentation for more details.
 
Currently, an ERS update to this data product is not planned.","Economic Research Service, Department of Agriculture",Website Administrator,mailto:webadmin@ers.usda.gov,2019-03-29,https://www.ers.usda.gov/data-products/county-typology-codes/,dcat:Distribution,public
Creative Class County Codes,"The creative class thesis—that towns need to attract engineers, architects, artists, and people in other creative occupations to compete in today's economy—may be particularly relevant to rural communities, which tend to lose much of their talent when young adults leave. The ERS creative class codes indicate a county's share of population employed in occupations that require ""thinking creatively."" Variables used to construct the ERS creative class measure include number and percent employed in creative class occupations and a metro/nonmetro indicator for all counties, 1990, 2000, and 2007-11. A break-out of employment in the arts is included.","Economic Research Service, Department of Agriculture",David McGranahan,mailto:dmcg@ers.usda.gov,2019-08-20,https://www.ers.usda.gov/data-products/creative-class-county-codes.aspx,application/vnd.ms-excel,public
Dairy Data,"These data are from several USDA agencies. They were previously included in the Meat Statistics page in the Livestock, Dairy, and Poultry Outlook tables and may contain revisions not included in previous releases of the LDP tables.","Economic Research Service, Department of Agriculture",Jerry Cessna,mailto:jgcessna@usda.gov,2020-07-14,http://www.ers.usda.gov/data-products/dairy-data.aspx,application/vnd.ms-excel,public
Data Visualizations,Click on any of the images below to explore an interactive data visualization:,"Economic Research Service, Department of Agriculture",Website Administrator,mailto:webadmin@ers.usda.gov,2020-02-05,https://www.ers.usda.gov/data-products/data-visualizations/,dcat:Distribution,public
ERS Data APIs,"The ERS content and data APIs (including our pre-made widgets for embedding charts) are currently out of service while we redesign our site. Check back here for updates--we'll keep you informed as to the progress. Contact us at webadmin@ers.usda.gov with questions.

The Data APIs provide programmatic access to select data sets.","Economic Research Service, Department of Agriculture",Peter Bersani,mailto:pbersani@ers.usda.gov,2019-08-20,https://www.ers.usda.gov/developer/,text/html,public
Eating and Health Module (ATUS),"The Eating & Health (EH) Module of the American Time Use Survey (ATUS) collects data to analyze relationships among time use patterns and eating patterns, nutrition, and obesity; food and nutrition assistance programs; and grocery shopping and meal preparation.","Economic Research Service, Department of Agriculture",Brandon Restrepo,mailto:brandon.restrepo@ers.usda.gov,2019-08-20,https://www.ers.usda.gov/data-products/eating-and-health-module-atus/,text/html,public
Editors' Pick Charts of Note 2018,This chart gallery is a collection of the best Charts of Note from 2018. These charts were selected by ERS editors as those worthy of a second read because they provide context for the year’s headlines or share key insights from ERS research.,"Economic Research Service, Department of Agriculture",Website Administrator,mailto:webadmin@ers.usda.gov,2018-12-21,https://www.ers.usda.gov/data-products/editors-pick-charts-of-note-2018/,text/html,public
Editors' Pick: Charts of Note 2019,This chart gallery is a collection of some of the best Charts of Note from 2019. These charts were selected by ERS editors as those worthy of a second read because they provide context for the year’s headlines or share key insights from ERS research.,"Economic Research Service, Department of Agriculture",Website Administrator,mailto:webadmin@ers.usda.gov,2019-12-23,https://www.ers.usda.gov/data-products/editors-pick-charts-of-note-2019/,dcat:Distribution,public
Farm Household Income and Characteristics,This data product presents the latest household income forecast and estimates for U.S. family farms.,"Economic Research Service, Department of Agriculture",Jessica E. Todd,mailto:jtodd@ers.usda.gov,2020-02-05,http://www.ers.usda.gov/data-products/farm-household-income-and-characteristics.aspx,application/vnd.ms-excel,public
Farm Income and Wealth Statistics,Estimates of farm sector income with component accounts for the United States and for States.,"Economic Research Service, Department of Agriculture",Farm Income Team,mailto:farmincometeam@ers.usda.gov,2020-02-05,https://www.ers.usda.gov/data-products/farm-income-and-wealth-statistics/data-files-us-and-state-level-farm-income-and-wealth-statistics/,dcat:Distribution,public
Federal Funds,"Note: Updates to this data product are discontinued. The underlying data are no longer available.
The data are from the Census Bureau's Consolidated Federal Funds Reports on Federal expenditures and obligations for grants, salaries and wages, procurements, direct payments, direct loans, guaranteed loans, and insurance obtained from Federal Government agencies. ERS screens the data for each Federal program for accuracy at the county level and then presents the data by function and type of program for each county and State. See the complete data documentation for details.

Each file contains Federal outlays by program for each county in the State. County population is also included so that per capita spending can be calculated. Summary of the data for the United States and a ZIP file for all States are also available.","Economic Research Service, Department of Agriculture",Website Administrator,mailto:webadmin@ers.usda.gov,2019-03-26,https://www.ers.usda.gov/data-products/federal-funds/,application/zip,public
Feed Grains Database,"The Feed Grains Database contains statistics on four feed grains (corn, grain sorghum, barley, and oats), foreign coarse grains (feed grains plus rye, millet, and mixed grains), hay, and related items.","Economic Research Service, Department of Agriculture",Thomas Capehart,mailto:tcapehart@ers.usda.gov,2020-07-15,http://www.ers.usda.gov/data-products/feed-grains-database/feed-grains-custom-query.aspx,text/html,public
Fertilizer Imports/Exports,"Note: Updates to this data product are discontinued. The underlying information is available from the U.S. Department of Commerce, Foreign Trade Division.
This system provides annual data on U.S. imports and exports of selected fertilizer types. These data are based on U.S. Merchandise Imports and Exports, released monthly by the U.S. Department of Commerce, Foreign Trade Division. The data reported here cover imports from 1995 to 2012 and exports from 1990 to 2012 for 26 major fertilizer products and materials, and for 82 major trading countries.","Economic Research Service, Department of Agriculture",Website Administrator,mailto:WebAdmin@ers.usda.gov,2019-03-26,https://www.ers.usda.gov/data-products/fertilizer-importsexports/standard-tables/,application/vnd.ms-excel,public
Fertilizer Use and Price,"This product summarizes fertilizer consumption in the United States by plant nutrient and major fertilizer products—as well as consumption of mixed fertilizers, secondary nutrients, and micronutrients—for 1960 through the latest year for which statistics are available. The share of planted crop acreage receiving fertilizer, and fertilizer applications per receiving acre (by nutrient), are presented for major producing States for corn, cotton, soybeans, and wheat (data on nutrient consumption by crop start in 1964). Fertilizer farm prices and indices of wholesale fertilizer prices are also available.","Economic Research Service, Department of Agriculture",Roberto Mosheim,mailto:rmosheim@ers.usda.gov,2019-10-30,https://www.ers.usda.gov/data-products/fertilizer-use-and-price.aspx,dcat:Distribution,public
Food Access Research Atlas,"The Food Access Research Atlas presents a spatial overview of food access indicators for low-income and other census tracts using different measures of supermarket accessibility, provides food access data for populations within census tracts, and offers census-tract-level data on food access that can be downloaded for community planning or research purposes.","Economic Research Service, Department of Agriculture",Alana Rhone,mailto:alana.y.rhone@ers.usda.gov,2019-10-31,http://www.ers.usda.gov/data-products/food-access-research-atlas/go-to-the-atlas.aspx,text/html,public
Food Availability (Per Capita) Data System,"The ERS Food Availability (Per Capita) Data System (FADS) includes three distinct but related data series on food and nutrient availability for consumption. The data serve as popular proxies for actual consumption at the national level. Food availability data are now updated through 2011, the most recent year available; these data are the foundation for the other two series. Loss-adjusted food availability data are also available through 2011 for most products but are preliminary estimates. Nutrient availability data are provided through 2006, as this data series has not yet been updated beyond 2006.","Economic Research Service, Department of Agriculture",Linda Kantor,mailto:linda.kantor@ers.usda.gov,2020-07-24,https://www.ers.usda.gov/data-products/food-availability-per-capita-data-system/food-availability-per-capita-data-system/#Food%20Availability,application/vnd.ms-excel,public
Food Consumption and Nutrient Intakes,"Food consumption in terms of the Dietary Guidelines for Americans’ food groups is reported for all sources and the total U.S. population, as well as by food source, children age 2-19, and adults age 20 and older.","Economic Research Service, Department of Agriculture",Biing-Hwan Lin,mailto:blin@ers.usda.gov,2019-08-20,http://www.ers.usda.gov/data-products/food-consumption-and-nutrient-intakes.aspx,application/vnd.ms-excel,public
Food Dollar Series,"The food dollar series measures annual expenditures by U.S. consumers on domestically produced food. This data series is composed of three primary series - the marketing bill series, the industry group series, and the primary factor series - that shed light on different aspects of the food supply chain. The three series show three different ways to split up the same food dollar.","Economic Research Service, Department of Agriculture",Patrick Canning,mailto:pcanning@ers.usda.gov,2020-03-23,http://www.ers.usda.gov/data-products/food-dollar-series/food-dollar-application.aspx,text/html,public
Food Environment Atlas,"Food environment factors--such as store/restaurant proximity, food prices, food and nutrition assistance programs, and community characteristics--interact to influence food choices and diet quality. Research is beginning to document the complexity of these interactions, but more is needed to identify causal relationships and effective policy interventions. The objectives of the Atlas are
to assemble statistics on food environment indicators to stimulate research on the determinants of food choices and diet quality, and to provide a spatial overview of a community's ability to access healthy food and its success in doing so.","Economic Research Service, Department of Agriculture",Alana Rhone,mailto:alana.y.rhone@ers.usda.gov,2019-08-27,http://www.ers.usda.gov/data-products/food-environment-atlas/go-to-the-atlas.aspx,text/html,public
Food Expenditure Series,"The ERS Food Expenditure Series annually measures total U.S. food expenditures, including purchases by consumers, governments, businesses, and nonprofit organizations. The ERS Food Expenditure Series contributes to the analysis of U.S. food production and consumption by constructing a comprehensive measure of the total value of all food expenditures by final purchasers. This series annually measures total U.S. food expenditures, including purchases by consumers, governments, businesses, and nonprofit organizations. Because the term expenditure is often associated with household decisionmaking, it is important to recognize that ERS's series also includes nonhousehold purchases. For example, the series includes the dollar value of domestic food purchases by military personnel and their dependents at military commissary stores and exchanges, the value of commodities and food dollars donated by the Federal government to schools, and the value of food purchased by airlines for serving during flights.","Economic Research Service, Department of Agriculture",Eliana Zeballos,mailto:eliana.zeballos@ers.usda.gov,2020-07-21,http://www.ers.usda.gov/data-products/food-expenditures.aspx,application/vnd.ms-excel,public
Food Price Outlook,"The Consumer Price Index (CPI) for food is a component of the all-items CPI. The CPI measures the average change over time in the prices paid by urban consumers for a representative market basket of consumer goods and services. While the all-items CPI measures the price changes for all consumer goods and services, including food, the CPI for food measures the changes in the retail prices of food items only.","Economic Research Service, Department of Agriculture",Carolyn Chelius,mailto:carolyn.chelius@usda.gov,2020-07-24,http://www.ers.usda.gov/data-products/food-price-outlook.aspx,application/vnd.ms-excel,public
Food Security in the United States,This data section provides information about publicly available national surveys that include questions from the U.S. Food Security Survey Module. Information on each survey and directions for accessing data files are available in the documentation.,"Economic Research Service, Department of Agriculture",Alisha Coleman-Jensen,mailto:acjensen@ers.usda.gov,2019-09-04,http://www.ers.usda.gov/data-products/food-security-in-the-united-states.aspx,text/html,public
Food and Nutrition Assistance Research Reports Database,"ERS supports a broad spectrum of food and nutrition assistance research and has compiled an electronic database of over 900 peer-reviewed reports and articles based on ERS-supported research. The database is searchable by title, lead author, topic, year of publication, and data set analyzed.","Economic Research Service, Department of Agriculture",Alana Rhone,mailto:alana.y.rhone@ers.usda.gov,2019-08-20,https://data.ers.usda.gov/FANRP-research-reports-articles-database.aspx,text/html,public
FoodAPS National Household Food Acquisition and Purchase Survey,USDA's National Household Food Acquisition and Purchase Survey (FoodAPS) will provide unique and detailed data about household food choices that are not available from any other survey. FoodAPS is a nationally representative survey of household food purchases and acquisitions.,"Economic Research Service, Department of Agriculture",Elina T. Page,mailto:elina.t.page@ers.usda.gov,2019-08-20,http://www.ers.usda.gov/data-products/foodaps-national-household-food-acquisition-and-purchase-survey.aspx,text/html,public
